id,name,tets,fibered,num_field_max_deg,fund_max_deg,fund_any_nonmonic,fund_torsion_infos,alex_poly,alex_deg,alex_nonmonic,th_taut,taut_tri,Z2_wonky,in_S3,trace_field_deg
27911,o9_11055,9,-1,40.0,2.0,1.0,"[(0,5,0,2),(1,40,0,2),(1,12,0,2),(1,6,1,2)]",13*a^2-37*a+13,2,1,1,jLAwwMQbcbdfgihiixhnqjqssjs_BbaB,0,0,40.0
28006,o9_11150,9,-1,20.0,2.0,1.0,"[(1,20,0,2)]",4*a^2-15*a+4,2,1,1,jLALLMQcbbeghhiiiqqjnajcdql_babb,0,0,20.0
28007,o9_11151,9,-1,20.0,2.0,1.0,"[(0,11,0,2),(1,20,0,2)]",4*a^2+15*a+4,2,1,1,jLALLMQcbbegghiiiqqjnaovdhd_baab,0,0,20.0
28018,o9_11162,9,-1,36.0,6.0,1.0,"[(0,20,0,6),(0,10,0,6),(1,36,0,6)]",4*a^4+4*a^3+9*a^2+4*a+4,4,1,3,jLALPMPbcbefgfhiixxjgqajxxj_aBba,0,0,36.0
28026,o9_11170,9,-1,13.0,6.0,1.0,"[(0,9,0,2),(1,13,0,6)]",1,0,0,3,jLLALMQbeddhghhiixxrcxrhiar_bBab,0,0,13.0
28046,o9_11190,9,-1,54.0,10.0,1.0,"[(0,40,0,10),(0,5,0,10),(0,5,0,10),(1,54,0,10)]",2*a^6+3*a^5+4*a^4+4*a^3+4*a^2+3*a+2,6,1,5,jLALPPPcbbegfhgiihhkwhhhwxj_BbBa,0,0,54.0
28088,o9_11232,9,-1,34.0,6.0,1.0,"[(0,22,0,6),(0,8,0,6),(1,34,0,6)]",2*a^4+2*a^3+9*a^2+2*a+2,4,1,3,jLALPMPbcbefgfhiixxjgqajqqj_aBba,0,0,34.0
28093,o9_11237,9,-1,20.0,6.0,1.0,"[(1,20,0,6)]",4*a^4-5*a^3+4*a^2-5*a+4,4,1,3,jLALLMQbcbfhgigiixxjxxaxjqh_BabB,0,0,20.0
28138,o9_11282,9,-1,15.0,2.0,1.0,"[(1,15,0,2)]",4*a^2+a+4,2,1,1,jLALLMQcbbeghihiiqqjnarinpa_bBab,0,0,15.0
28139,o9_11283,9,-1,15.0,2.0,1.0,"[(1,15,0,2)]",4*a^2-a+4,2,1,1,jLALLPQcbbeghhiiiqqjnabkeix_BaaB,0,0,15.0
28220,o9_11364,9,-1,34.0,6.0,1.0,"[(0,20,0,6),(0,4,0,6),(1,34,0,6)]",2*a^4+7*a^3+2*a^2+7*a+2,4,1,3,jLALLQPbcbfgfghiihhjudtnvqj_bBcB,0,0,34.0
28259,o9_11403,9,-1,27.0,6.0,1.0,"[(1,27,0,6)]",5*a^4-4*a^3+5*a^2-4*a+5,4,1,3,jLALLMQcbbfghigiihhkhhhhjxq_aBbB,0,0,27.0
28292,o9_11436,9,-1,54.0,10.0,1.0,"[(0,40,0,10),(0,5,0,10),(0,5,0,10),(1,54,0,10)]",2*a^6+3*a^5+4*a^4+4*a^3+4*a^2+3*a+2,6,1,5,jLALPPPbcbegfhgiihhjsqahkhw_BaaB,0,0,54.0
28379,o9_11523,9,-1,32.0,6.0,1.0,"[(0,32,0,6),(0,15,0,6),(1,30,0,6),(1,18,0,6)]",5*a^4+7*a^3+7*a^2+7*a+5,4,1,3,jLALPzQbcbegfhihihhjrhahxkn_aBbB,0,0,18.0
28394,o9_11538,9,-1,40.0,6.0,1.0,"[(0,22,0,6),(0,14,0,6),(1,40,0,6)]",5*a^4+5*a^3+9*a^2+5*a+5,4,1,3,jLALPMPbcbefgfhiixxjgqxjxxr_aBba,0,0,40.0
28452,o9_11596,9,-1,24.0,6.0,1.0,"[(1,24,0,6)]",3*a^4-a^3-a+3,4,1,3,jLLAMzQacdefghiiinkqxqhqhkc_BaaB,0,0,24.0
28458,o9_11602,9,-1,34.0,6.0,1.0,"[(0,21,0,6),(0,11,0,6),(1,34,0,6)]",3*a^4+7*a^3+3*a^2+7*a+3,4,1,3,jLALLQPbcbfgfghiihhjudtnvhn_babb,0,0,34.0
28469,o9_11613,9,-1,48.0,10.0,1.0,"[(0,38,0,10),(0,3,0,10),(0,3,0,10),(1,48,0,10)]",3*a^6+3*a^5+2*a^4+2*a^3+2*a^2+3*a+3,6,1,5,jLALPzQbcbefghihihxjgqqqhjn_aBBa,0,0,48.0
28503,o9_11647,9,-1,28.0,6.0,1.0,"[(0,28,0,6),(0,4,0,6),(0,4,0,6),(1,18,0,6),(1,28,0,6)]",3*a^4+8*a^3+8*a^2+8*a+3,4,1,3,jLALPzQbcbegfhihihhjraahhkr_aBbC,0,0,18.0
28505,o9_11649,9,-1,22.0,6.0,1.0,"[(1,22,0,6),(1,8,0,6)]",2*a^4-7*a^3+2*a^2-7*a+2,4,1,3,jLALLMQbcbfhgigiixxnqqaqkxh_BbaB,0,0,22.0
28529,o9_11673,9,-1,40.0,6.0,1.0,"[(0,24,0,6),(0,5,0,6),(0,5,0,6),(1,40,0,6)]",3*a^4+3*a^3+10*a^2+3*a+3,4,1,3,jLALPMPbcbefgfhiihxjgxakqqn_aBbB,0,0,40.0
